test_name, start_type, cost, ideal_cost, run_time, nb_agents
instances/map_1.txt, 0, 22, 22, 0.0, 2
instances/map_1.txt, 0, 17, 17, 0.0, 3
instances/map_1.txt, 0, 30, 30, 0.0, 4
instances/map_1.txt, 0, 65, 65, 0.001, 5
instances/map_1.txt, 0, 53, 53, 0.0, 6
instances/map_1.txt, 0, 89, 89, 0.002, 7
instances/map_1.txt, 0, 95, 93, 3.135, 8
instances/map_1.txt, 0, 100, 98, 2.2, 9
instances/map_1.txt, 1, 42, 42, 0.001, 2
instances/map_1.txt, 1, 66, 66, 0.001, 3
instances/map_1.txt, 1, 99, 98, 0.016, 4
instances/map_1.txt, 1, 126, 121, 0.211, 5
instances/map_1.txt, 1, 141, 138, 0.402, 6
instances/map_1.txt, 1, 164, 163, 0.654, 7
instances/map_1.txt, 1, 184, 183, 0.01, 8
instances/map_1.txt, 1, 211, 210, 0.313, 9
