test_name,start_type,cost,ideal_cost,avg_deviation,run_time,nb_agents
instances/map_1.txt, 0, 9, 9, 1.0, 0.0, 2
instances/map_1.txt, 0, 35, 35, 1.0, 0.001, 3
instances/map_1.txt, 0, 37, 37, 1.0, 0.001, 4
instances/map_1.txt, 0, 43, 43, 1.0, 0.002, 5
instances/map_1.txt, 1, 45, 45, 1.0, 0.001, 2
instances/map_1.txt, 1, 69, 69, 1.0, 0.003, 3
instances/map_1.txt, 1, 94, 94, 1.0, 0.003, 4
instances/map_1.txt, 2, 48, 48, 1.0, 0.0, 2
instances/map_1.txt, 2, 65, 65, 1.0, 0.0, 3
instances/map_1.txt, 2, 94, 94, 1.0, 0.0, 4
instances/map_1.txt, 2, 111, 111, 1.0, 0.004, 5
instances/map_2.txt, 0, 17, 17, 1.0, 0.001, 2
instances/map_2.txt, 0, 20, 19, 1.037, 0.001, 3
instances/map_2.txt, 0, 49, 49, 1.0, 0.001, 4
instances/map_2.txt, 0, 58, 55, 1.3, 0.003, 5
instances/map_2.txt, 1, 51, 51, 1.0, 0.001, 2
instances/map_2.txt, 1, 76, 76, 1.0, 0.001, 3
instances/map_2.txt, 1, 99, 97, 1.021, 0.021, 4
instances/map_2.txt, 1, 128, 128, 1.0, 0.001, 5
instances/map_2.txt, 2, 48, 48, 1.0, 0.001, 2
instances/map_2.txt, 2, 79, 78, 1.012, 0.007, 3
instances/map_2.txt, 2, 104, 104, 1.0, 0.004, 4
instances/map_2.txt, 2, 128, 128, 1.0, 0.003, 5
instances/map_3.txt, 0, 21, 21, 1.0, 0.002, 2
instances/map_3.txt, 0, 30, 30, 1.0, 0.0, 3
instances/map_3.txt, 0, 51, 49, 1.025, 0.004, 4
instances/map_3.txt, 0, 61, 59, 1.044, 0.023, 5
instances/map_3.txt, 1, 52, 52, 1.0, 0.001, 2
instances/map_3.txt, 1, 82, 82, 1.0, 0.0, 3
instances/map_3.txt, 1, 101, 100, 1.009, 0.001, 4
instances/map_3.txt, 1, 130, 130, 1.0, 0.001, 5
instances/map_3.txt, 2, 48, 48, 1.0, 0.001, 2
instances/map_3.txt, 2, 75, 75, 1.0, 0.001, 3
instances/map_3.txt, 2, 107, 107, 1.0, 0.001, 4
instances/map_3.txt, 2, 132, 131, 1.008, 0.002, 5
instances/map_1.txt, 0, 32, 32, 1.0, 0.001, 2
instances/map_1.txt, 0, 53, 53, 1.0, 0.001, 3
instances/map_1.txt, 0, 47, 47, 1.0, 0.001, 4
instances/map_1.txt, 0, 58, 58, 1.0, 0.002, 5
instances/map_1.txt, 1, 46, 46, 1.0, 0.001, 2
instances/map_1.txt, 1, 76, 76, 1.0, 0.001, 3
instances/map_1.txt, 1, 92, 92, 1.0, 0.001, 4
instances/map_1.txt, 1, 118, 116, 1.017, 0.091, 5
instances/map_1.txt, 2, 47, 47, 1.0, 0.001, 2
instances/map_1.txt, 2, 65, 65, 1.0, 0.002, 3
instances/map_1.txt, 2, 87, 85, 1.023, 0.003, 4
instances/map_1.txt, 2, 114, 114, 1.0, 0.003, 5
instances/map_2.txt, 0, 11, 11, 1.0, 0.0, 2
instances/map_2.txt, 0, 28, 28, 1.0, 0.0, 3
instances/map_2.txt, 0, 51, 51, 1.0, 0.0, 4
instances/map_2.txt, 0, 38, 38, 1.0, 0.001, 5
instances/map_2.txt, 1, 47, 46, 1.021, 0.001, 2
instances/map_2.txt, 1, 77, 77, 1.0, 0.0, 3
instances/map_2.txt, 1, 105, 104, 1.009, 0.223, 4
instances/map_2.txt, 1, 124, 124, 1.0, 0.001, 5
instances/map_2.txt, 2, 52, 52, 1.0, 0.001, 2
instances/map_2.txt, 2, 79, 79, 1.0, 0.002, 3
instances/map_2.txt, 2, 100, 100, 1.0, 0.004, 4
instances/map_2.txt, 2, 132, 132, 1.0, 0.011, 5
instances/map_3.txt, 0, 7, 7, 1.0, 0.0, 2
instances/map_3.txt, 0, 22, 22, 1.0, 0.0, 3
instances/map_3.txt, 0, 69, 69, 1.0, 0.002, 4
instances/map_3.txt, 0, 76, 76, 1.0, 0.003, 5
instances/map_3.txt, 1, 52, 52, 1.0, 0.002, 2
instances/map_3.txt, 1, 76, 76, 1.0, 0.0, 3
instances/map_3.txt, 1, 104, 102, 1.019, 0.008, 4
instances/map_3.txt, 1, 125, 123, 1.017, 0.011, 5
instances/map_3.txt, 2, 52, 52, 1.0, 0.0, 2
instances/map_3.txt, 2, 76, 76, 1.0, 0.001, 3
instances/map_3.txt, 2, 103, 103, 1.0, 0.002, 4
instances/map_1.txt, 0, 28, 28, 1.0, 0.0, 2
instances/map_1.txt, 0, 37, 37, 1.0, 0.0, 3
instances/map_1.txt, 0, 41, 41, 1.0, 0.001, 4
instances/map_1.txt, 0, 51, 51, 1.0, 0.001, 5
instances/map_1.txt, 1, 46, 46, 1.0, 0.0, 2
instances/map_1.txt, 1, 66, 66, 1.0, 0.001, 3
instances/map_1.txt, 1, 96, 96, 1.0, 0.002, 4
instances/map_1.txt, 1, 111, 111, 1.0, 0.003, 5
instances/map_1.txt, 2, 48, 48, 1.0, 0.001, 2
instances/map_1.txt, 2, 75, 75, 1.0, 0.002, 3
instances/map_1.txt, 2, 91, 91, 1.0, 0.003, 4
instances/map_1.txt, 2, 121, 121, 1.0, 0.004, 5
instances/map_2.txt, 0, 18, 18, 1.0, 0.001, 2
instances/map_2.txt, 0, 15, 15, 1.0, 0.0, 3
instances/map_2.txt, 0, 29, 29, 1.0, 0.001, 4
instances/map_2.txt, 0, 64, 64, 1.0, 0.0, 5
instances/map_2.txt, 1, 51, 51, 1.0, 0.0, 2
instances/map_2.txt, 1, 79, 78, 1.012, 0.003, 3
instances/map_2.txt, 1, 101, 100, 1.01, 0.018, 4
instances/map_2.txt, 2, 52, 52, 1.0, 0.0, 2
instances/map_2.txt, 2, 79, 78, 1.012, 0.001, 3
instances/map_2.txt, 2, 100, 100, 1.0, 0.001, 4
instances/map_2.txt, 2, 129, 128, 1.008, 0.125, 5
instances/map_3.txt, 0, 27, 27, 1.0, 0.0, 2
instances/map_3.txt, 0, 36, 36, 1.0, 0.0, 3
instances/map_3.txt, 0, 43, 39, 1.05, 0.01, 4
instances/map_3.txt, 0, 49, 48, 1.025, 0.0, 5
instances/map_3.txt, 1, 53, 53, 1.0, 0.0, 2
instances/map_3.txt, 1, 78, 78, 1.0, 0.001, 3
instances/map_3.txt, 1, 109, 107, 1.018, 0.003, 4
instances/map_3.txt, 1, 130, 130, 1.0, 0.002, 5
instances/map_3.txt, 2, 52, 52, 1.0, 0.0, 2
instances/map_3.txt, 2, 81, 81, 1.0, 0.001, 3
instances/map_3.txt, 2, 109, 108, 1.009, 0.114, 4
instances/map_3.txt, 2, 131, 131, 1.0, 0.003, 5
instances/map_1.txt, 0, 11, 11, 1.0, 0.0, 2
instances/map_1.txt, 0, 40, 40, 1.0, 0.0, 3
instances/map_1.txt, 0, 49, 49, 1.0, 0.001, 4
instances/map_1.txt, 0, 51, 51, 1.0, 0.001, 5
instances/map_1.txt, 1, 47, 47, 1.0, 0.001, 2
instances/map_1.txt, 1, 67, 67, 1.0, 0.0, 3
instances/map_1.txt, 1, 94, 93, 1.01, 0.03, 4
instances/map_1.txt, 1, 114, 114, 1.0, 0.002, 5
instances/map_1.txt, 2, 48, 48, 1.0, 0.0, 2
instances/map_1.txt, 2, 62, 62, 1.0, 0.0, 3
instances/map_1.txt, 2, 95, 94, 1.011, 0.001, 4
instances/map_1.txt, 2, 116, 116, 1.0, 0.003, 5
instances/map_2.txt, 0, 15, 15, 1.0, 0.0, 2
instances/map_2.txt, 0, 11, 11, 1.0, 0.0, 3
instances/map_2.txt, 0, 56, 56, 1.0, 0.001, 4
instances/map_2.txt, 0, 56, 54, 1.031, 0.036, 5
instances/map_2.txt, 1, 49, 49, 1.0, 0.001, 2
instances/map_2.txt, 1, 78, 78, 1.0, 0.004, 3
instances/map_2.txt, 1, 98, 98, 1.0, 0.001, 4
instances/map_2.txt, 1, 130, 130, 1.0, 0.002, 5
instances/map_2.txt, 2, 51, 51, 1.0, 0.001, 2
instances/map_2.txt, 2, 77, 77, 1.0, 0.005, 3
instances/map_2.txt, 2, 104, 104, 1.0, 0.003, 4
instances/map_2.txt, 2, 126, 125, 1.008, 0.134, 5
instances/map_3.txt, 0, 21, 21, 1.0, 0.001, 2
instances/map_3.txt, 0, 26, 26, 1.0, 0.001, 3
instances/map_3.txt, 0, 25, 25, 1.0, 0.0, 4
instances/map_3.txt, 0, 37, 36, 1.033, 0.004, 5
instances/map_3.txt, 1, 52, 52, 1.0, 0.0, 2
instances/map_3.txt, 1, 79, 79, 1.0, 0.002, 3
instances/map_3.txt, 1, 111, 109, 1.019, 0.016, 4
instances/map_3.txt, 1, 134, 132, 1.014, 0.293, 5
instances/map_3.txt, 2, 49, 49, 1.0, 0.0, 2
instances/map_3.txt, 2, 78, 78, 1.0, 0.0, 3
instances/map_3.txt, 2, 105, 105, 1.0, 0.001, 4
instances/map_3.txt, 2, 131, 131, 1.0, 0.007, 5
instances/map_1.txt, 0, 31, 31, 1.0, 0.001, 2
instances/map_1.txt, 0, 24, 24, 1.0, 0.0, 3
instances/map_1.txt, 0, 40, 40, 1.0, 0.0, 4
instances/map_1.txt, 0, 54, 54, 1.0, 0.001, 5
instances/map_1.txt, 1, 48, 48, 1.0, 0.0, 2
instances/map_1.txt, 1, 72, 72, 1.0, 0.001, 3
instances/map_1.txt, 1, 86, 86, 1.0, 0.002, 4
instances/map_1.txt, 1, 109, 108, 1.009, 0.004, 5
instances/map_1.txt, 2, 50, 50, 1.0, 0.001, 2
instances/map_1.txt, 2, 69, 69, 1.0, 0.001, 3
instances/map_1.txt, 2, 93, 93, 1.0, 0.002, 4
instances/map_1.txt, 2, 114, 114, 1.0, 0.006, 5
instances/map_2.txt, 0, 18, 18, 1.0, 0.0, 2
instances/map_2.txt, 0, 39, 39, 1.0, 0.001, 3
instances/map_2.txt, 0, 29, 29, 1.0, 0.001, 4
instances/map_2.txt, 0, 83, 83, 1.0, 0.005, 5
instances/map_2.txt, 1, 47, 47, 1.0, 0.0, 2
instances/map_2.txt, 1, 74, 74, 1.0, 0.001, 3
instances/map_2.txt, 2, 52, 52, 1.0, 0.001, 2
instances/map_2.txt, 2, 76, 76, 1.0, 0.002, 3
instances/map_2.txt, 2, 102, 101, 1.01, 0.507, 4
instances/map_2.txt, 2, 129, 128, 1.007, 0.005, 5
instances/map_3.txt, 0, 23, 21, 1.167, 0.001, 2
instances/map_3.txt, 0, 38, 38, 1.0, 0.0, 3
instances/map_3.txt, 0, 63, 63, 1.0, 0.002, 4
instances/map_3.txt, 0, 73, 73, 1.0, 0.004, 5
instances/map_3.txt, 1, 52, 52, 1.0, 0.001, 2
instances/map_3.txt, 1, 82, 82, 1.0, 0.0, 3
instances/map_3.txt, 1, 106, 105, 1.009, 0.003, 4
instances/map_3.txt, 1, 131, 129, 1.015, 0.03, 5
instances/map_3.txt, 2, 50, 50, 1.0, 0.001, 2
instances/map_3.txt, 2, 81, 81, 1.0, 0.001, 3
instances/map_3.txt, 2, 102, 102, 1.0, 0.004, 4
instances/map_3.txt, 2, 129, 129, 1.0, 0.003, 5
instances/map_1.txt, 0, 22, 22, 1.0, 0.003, 2
instances/map_1.txt, 0, 42, 42, 1.0, 0.001, 3
instances/map_1.txt, 0, 58, 58, 1.0, 0.001, 4
instances/map_1.txt, 0, 43, 39, 1.062, 0.01, 5
instances/map_1.txt, 1, 43, 43, 1.0, 0.001, 2
instances/map_1.txt, 1, 72, 72, 1.0, 0.0, 3
instances/map_1.txt, 1, 91, 91, 1.0, 0.0, 4
instances/map_1.txt, 1, 116, 115, 1.008, 0.665, 5
instances/map_1.txt, 2, 45, 45, 1.0, 0.001, 2
instances/map_1.txt, 2, 75, 75, 1.0, 0.001, 3
instances/map_1.txt, 2, 104, 104, 1.0, 0.013, 4
instances/map_2.txt, 0, 11, 11, 1.0, 0.0, 2
instances/map_2.txt, 0, 49, 49, 1.0, 0.001, 3
instances/map_2.txt, 0, 35, 33, 1.021, 0.015, 4
instances/map_2.txt, 0, 37, 37, 1.0, 0.0, 5
instances/map_2.txt, 1, 51, 51, 1.0, 0.001, 2
instances/map_2.txt, 1, 74, 74, 1.0, 0.0, 3
instances/map_2.txt, 1, 103, 103, 1.0, 0.004, 4
instances/map_2.txt, 1, 127, 126, 1.008, 0.075, 5
instances/map_2.txt, 2, 51, 51, 1.0, 0.001, 2
instances/map_2.txt, 2, 72, 72, 1.0, 0.001, 3
instances/map_2.txt, 2, 104, 103, 1.01, 1.646, 4
instances/map_3.txt, 0, 34, 34, 1.0, 0.0, 2
instances/map_3.txt, 0, 25, 24, 1.033, 0.0, 3
instances/map_3.txt, 0, 42, 42, 1.0, 0.001, 4
instances/map_3.txt, 0, 51, 46, 1.124, 0.189, 5
instances/map_3.txt, 1, 53, 52, 1.019, 0.001, 2
instances/map_3.txt, 1, 78, 78, 1.0, 0.001, 3
instances/map_3.txt, 1, 109, 109, 1.0, 0.005, 4
instances/map_3.txt, 2, 54, 54, 1.0, 0.0, 2
instances/map_3.txt, 2, 82, 82, 1.0, 0.001, 3
instances/map_3.txt, 2, 106, 106, 1.0, 0.001, 4
instances/map_3.txt, 2, 131, 130, 1.008, 0.658, 5
instances/map_1.txt, 0, 13, 13, 1.0, 0.0, 2
instances/map_1.txt, 0, 24, 24, 1.0, 0.001, 3
instances/map_1.txt, 0, 47, 47, 1.0, 0.001, 4
instances/map_1.txt, 0, 43, 43, 1.0, 0.001, 5
instances/map_1.txt, 1, 47, 47, 1.0, 0.0, 2
instances/map_1.txt, 1, 66, 66, 1.0, 0.001, 3
instances/map_1.txt, 1, 100, 97, 1.031, 0.654, 4
instances/map_1.txt, 1, 115, 115, 1.0, 0.002, 5
instances/map_1.txt, 2, 47, 47, 1.0, 0.0, 2
instances/map_1.txt, 2, 67, 67, 1.0, 0.001, 3
instances/map_1.txt, 2, 89, 85, 1.048, 0.023, 4
instances/map_1.txt, 2, 111, 111, 1.0, 0.007, 5
instances/map_2.txt, 0, 7, 7, 1.0, 0.0, 2
instances/map_2.txt, 0, 42, 42, 1.0, 0.001, 3
instances/map_2.txt, 0, 58, 56, 1.026, 0.012, 4
instances/map_2.txt, 0, 65, 65, 1.0, 0.001, 5
instances/map_2.txt, 1, 52, 52, 1.0, 0.0, 2
instances/map_2.txt, 1, 75, 75, 1.0, 0.001, 3
instances/map_2.txt, 1, 99, 98, 1.01, 0.066, 4
instances/map_2.txt, 1, 125, 125, 1.0, 0.001, 5
